№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
203,Карши тадкикот-конструкция,МЧЖ,206677073,"180108. Қашқадарё вилоят Қарши шаҳар Ўзбекистон, 234-2","Абдугаппаров Муртазо,  Усаров Тулкин",  +99893 525-05-48 +99893 525-05-62,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
204,Жайхун жол жойбар,МЧЖ,205254933,"Қорақолпағистон Республикаси Нукус шаҳри А.Досназаров кщчаси, 64-1",Каландаров Исломбек, +99861-222-93-84 +99861-350-89-94,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
205,Сурхонтемирйуллойиха,МЧЖ,204530194,"190114. Сурхондарё вилоят Термиз шаҳар Широқ,2/2",Атаев Алимжон, 222-25-78 243-52-11,,,,,,,,,,,,Сурхондарё,, Термиз шаҳар
206,AGROQURILISHLOYIHA,МЧЖ,200624927,"100121.Тошкент шаҳар Фарход,6а",Жалилова Насима, 250-36-35 974-93-42,,,,,,,,,,,,,,Тошкент шаҳар
207,LOYIHA-TADQIQOT,МЧЖ,200844717,"100011.Тошкент шаҳар Навоий,2а",Бакирханова Олмахон, 241-46-31 150-17-67,,,,,,,,,,,,,,Тошкент шаҳар
208,ULUG’BEK YOG’DUSI,МЧЖ,205854764,210400. Навоий вилоят Қизилтепа туман Ўзбекистон Шох,Бозоров Тўймурод, 555-15-10 323-26-60,,,,,,,,,,,,Навоий,Қизилтепа,Ўзбекистон Шох
209,Шухрат энком сервис,ХФ,205640026,"120100. Сирдарё вилоят Гулистон шаҳар Ўзбекистон Шох,130",Хазраткулова Мухаббат, 227-80-87 255-05-75,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
210,Когонархстройкурилиш,ХИЧК,205355768,"200700. Бухоро вилоят Когон шаҳар Х.Дўстлиги,11/11",Нусратова Севара, 52-451-70 191-27-47,,,,,,,,,,,,Бухоро,,Когон шаҳар
211,O’ZBEKMUZEYSHUNOSLIK,ИИЧМ,201569718,"100049. Тошкент шаҳар Навоий,16а",Жуманиязов Азадбай, 241-46-12 352-20-02,,,,,,,,,,,,,,Тошкент шаҳар
212,SAM-VILLOYIHA SERVIS,МЧЖ,205413710,"1718401. Самарқанд вилоят Самарқанд шаҳар М.Улугбек кўчаси,35 ",Маматов Шавкат, 233-28-43 935-35-75,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
213,MEROC CHASHMACI,УК,204178861,"Тошкент шаҳар Фаробий кўчаси, 58",Тўйчиев Турсинбой, 249-64-06 405-00-09 356-26-76,,,,,,,,,,,,,,Тошкент шаҳар
214,SURXON ME'MOR LOYIHA,МЧЖ,205890436,"Сурхондарё вилояти, Термиз шаҳри, Хаким ат-Термизий кўчаси, 1",Хакимов Хасан, 8-376 223-11-04 221-30-36 +998936376304,,,,,,,,,,,,Сурхондарё,, Термиз шаҳар
215,ЎЗГАЗЛОЙИХА,МЧЖ,200474354,"190112, Сурхондарё вилоят Термиз шаҳар Навоий, 28",Муқимов Шайдулло, 222-79-20 224-86-21,,,,,,,,,,,,Сурхондарё,, Термиз шаҳар
216,MUMTOZ-TOJ MAHAL,ХК,205521158,"100037.Тошкент шаҳар Ахмад дониш,11 мавзе-3-1",Абдуллаев Абдумалик, 220-22-34 220-22-39 333-22-34,,,,,,,,,,,,,,Тошкент шаҳар
217,DESIGN SERVIS-PLYUS,МЧЖ,300208238,"100000. Тошкент шаҳар Федорова,1а Осиё, 6",Ким Клементий, 237-64-44 904-96-35,,,,,,,,,,,,,,Тошкент шаҳар
218,ККГАЗЖОЙБАР,МЧЖ,200357199,Қорақолпағистон Республикаси Нукус шаҳар,Пиржанов Азад, 224-02-81 795-18-88,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
219,OZIQOVQATSANOATLOYIHA,МЧЖ,200933835,"100011.Тошкент шаҳар Навоий,9","Мавланов Аваз, Уланова Галина Александрна", 244-31-55 241-07-50 241-07-61 90-901-51-60 ,,,,,,,,,,,,,,Тошкент шаҳар
220,ARXSTROYPROYEKT PLYUS,МЧЖ,205305924,"Бухоро вилоят Бухоро шаҳар, Мустақиллик, 45",Муминова Валентина," 222-67-40, 383-09-04",,,,,,,,,,,,Бухоро,,Бухоро шаҳар
221,TEXPROEKTSTROY SERVIS,МЧЖ,300446852,"Бухоро вилоят Бухоро шаҳар, Адолат, 56",Астанов Эркин," 222-67-40, 383-01-21 90-926-77-76",,,,,,,,,,,,Бухоро,,Бухоро шаҳар
222,BUXARAPROEKT,МЧЖ,204032964,"Бухоро вилоят Бухоро шахар, Мустақиллик, 45",Хатамов Камол Истамович," 222-44-12, 718-38-70",,,,,,,,,,,,Бухоро,,Бухоро шаҳар
223,GEOSIFAT,МЧЖ,205595525,"100077,Тошкент шаҳар Буюк Ипак Йўли,160-14",Введенский Р," 289-66-51, 104-13-85",,,,,,,,,,,,,,Тошкент шаҳар
224,Андижонхужаролойиха,МЧЖ,200230777,"170100. Андижон вилоят Андижон шаҳри, Фитрат, 214","Рахмонов Шавкат Шеркузиевич, Иброхимов Мухиддин"," 223-70-46 +99891 623-65-69  225-51-33, 222-15-28 ",,,,,,,,,,,,Андижон,,Андижон шаҳар
225,ARXIКAD LOYIHA QURILISH,МЧЖ,206524073,"100084,Тошкент шаҳар, А.Темур кўчаси,100",Абдурахманов Хайрулло, 235-28-85 706-37-57,,,,,,,,,,,,,,Тошкент шаҳар
226,NAVOIYYO’LLOYIHA,МЧЖ,200003124,"210100. Навоий вилоят Навоий шаҳар 2-даха Навоий,18",Джураев Нурали Баймурадович," 0436 223-94-46, +99893 463-55-67",,,,,,,,,,,,Навоий,,Навоий шаҳар
227,SAMARKAND MINORALARI,МЧЖ,204656662,"141600. Самарқанд вилоят Ургут шаҳар Навоий Шох,7",Махмадияров Хошим, 935-88-96,,,,,,,,,,,,Самарқанд,,Ургут шаҳар
228,TOSHKONSALTINGSTROYTORG,ДК,300017720,100000.Тошкент шаҳар Навоий-18,Нормирзаев Абдуғани, 241-15-26 306-97-17,,,,,,,,,,,,,,Тошкент шаҳар
229,TECHNO ENGINEERING EXPERT,МЧЖ,205370694,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Ёрқинов Ботиржон Олтинбоевич Б. Хатамкулов, +99895 303-32-80 0369 227-87-61,,,,,,,,,,,,Наманган,,Наманган шахар
230,БУССОЛЬ,КК,200411789,"220100. Хоразм вилоят Урганч шаҳар Ўзбекистон,29",Ахтямов Марат, +99893 254-88-19,,,,,,,,,,,, Хоразм,,Урганч шаҳар
231,NAKHSHAB DESIGNER,МЧЖ,205761650,100043.Тошкент шаҳар Чилонзор туман 10-мавзе 24-74,Турсинмурод Хамроев,83753195508,,,,,,,,,,,,,Чилонзор,Тошкент шаҳар
232,SHAMS,корхона,200037439,160104. Наманган вилоят Наманган шаҳар 1- темир йўл берк кўча-10-6,Холмирзаев Хамидхон, 226-46-94 226-59-48,,,,,,,,,,,,Наманган,,Наманган шахар
233,QADRIYAT-TA’MIR,МЧЖ,201079322,"100003.Тошкент шаҳар Т.Тўла 1-берк кўча,9",Салимов Сайиб, 245-75-27 245-29-65 561-59-48,,,,,,,,,,,,,,Тошкент шаҳар
234,QURILISHLOYIHA,МЧЖ,202066053,"200100. Бухоро вилоят Бухоро шаҳар, Навоий, 5",Ташев Бахриддин, 0365 223-50-52 223-16-52 Kurilish2010@mail.ru,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
235,MASTER-DIZAYN,ХК,205174234,"100052.Тошкент шаҳар, Оққўрғон кўчаси, 3 проезд, 23",Мусаков Фарход, 317-90-62,,,,,,,,,,,,,,Тошкент шаҳар
236,BUXARA-ARXPROEKT,ХФ,205939689,"200100. Бухоро вилоят Бухоро шаҳар Навоий Шох,5/1",Хуррамов А. Хамроев Асрор, 223-43-17 223-15-73 292-33-57,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
237,MUSLIDDINOV XURSHID,КТХК,205177689,Наманган вилоят Чуст шаҳар,Муслиддинов Хуршид, 97-451-05-87,,,,,,,,,,,,Наманган,,Чуст шаҳар
238,SHARQEVROPROEKT PLUS,ЛШК,204625258,"140131. Самарқанд вилоят Самарқанд шаҳар Гагарин,27а",Тиллаев Илхом, 234-54-42 900-19-14,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
239,TOSHINVESTLOYIHAQURILISH,МЧЖ,206833060,"100011.Тошкент шаҳар Навоий,7",Талипов Ахмаджон, 241-00-39 335-76-77,,,,,,,,,,,,,,Тошкент шаҳар
240,MUSAFFO KAPITAL LOYIHA,МЧЖ,205779825,"Наманган вилоят Тўрақўрғон туман, Рахмонов, 2",Джураев А., 553-18-51,,,,,,,,,,,,Наманган,Тўрақўрғон,
241,O’ZBEKKO’MIR,АЖ,200899410,"110200. Тошкент вилоят Ангрен шаҳар Истиқлол,1",Умаров Б. Муртазоев Р.,"933873098, 2445579",,,,,,,,,,,,,,
242,EXPRESS PROYEKT DIZAYN,ХК,300433118,"Тошкент шаҳар Сайрам,43",Ханазаров Б, 312-75-57,,,,,,,,,,,,,,Тошкент шаҳар
243,ANOR-NURONIY,ШК,201862440,"100084.Тошкент шаҳар Ғ.Мавлонов,48",Мусабоев Нил Исхакович, 341-22-49 264-72-43,,,,,,,,,,,,,,Тошкент шаҳар
244,Фаргона автомобил йулларини –лойихалаш институти,МЧЖ,200133952,"150700. Фарғона вилоят Қўқон шаҳри Жасорат,3",Исроилов Иномжон, 552-68-86 552-45-44 73-595-45-44,,,,,,,,,,,,Фарғона,,Қўқон шаҳар
245,SHARQ YO’L LOYIHA,МЧЖ,205679016,"200111. Бухоро вилоят Бухоро шаҳар Э.Хўжаев,16",Эргашов Жумавой, 224-78-29 190-07-38,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
246,UNIQUE ARH PROJECT,МЧЖ,206961250,"100011,Тошкент шаҳар, Ц-14, 23-14",Мухамеджанов Бурхон, 550-99-00 241-86-95,,,,,,,,,,,,,,Тошкент шаҳар
247,BUXORO YO’LLOYIHA,МЧЖ,201514628,"200111. Бухоро вилоят Бухоро шаҳар С.Рахимов,11",Раджабов Ойбек Баротович, +99891 311-87-56 224-10-84,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
248,HAMROH LOYIHA INVEST,КК,202081946,"Тошкент шаҳар Ходжаев,1",Юсупов Олийжон, 238-69-49 238-69-59,,,,,,,,,,,,,,Тошкент шаҳар
249,AZIA PROJECT GROUP,МЧЖ,200985257,"100060.Тошкент шаҳар С.Азимов,72а",Мокин Юрий Михайлович Хапизов Ивраимжан Айсарович, 233-65-56 233-29-88 +99890 998-65-35,,,,,,,,,,,,,,Тошкент шаҳар
250,Синтез,ХФ,200666297,"180119. Қашқадарё вилоят Қарши шаҳар, Хусниобод, 70",Моисеев Рафаэл, 221-13-62 229-22-86,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
251,SHARQONA SAYQAL,ХК,205520981,"100027,Тошкент шаҳар, Дархон кўчаси, Тутзор тор кўчаси, 62",Усмонходжаев Хондамир, 245-31-14 159-64-32,,,,,,,,,,,,,,Тошкент шаҳар
252,SIYMO-DIZAYN,МЧЖ,203996067,"Тошкент шаҳар, Навоий, 2аТошкент шаҳар, Навоий, 30","Мусаев Мирфозил, Нишонов Хусан", 442-65-66 244-10-09 244-09-12  360-62-42,,,,,,,,,,,,,,Тошкент шаҳар
253,TMM-VEKTOR,МЧЖ,300734050,"Тошкент шаҳар, Бобур, 20",Муртазина Наталья, 254-25-03 602-33-22,,,,,,,,,,,,,,Тошкент шаҳар
254,КАШКАДАРЁ МАКС СЕРВИС КУРИЛИШ,ХК,300426007,"180117. Қашқадарё вилоят Қарши шаҳар, А. Темур, 135",Хикматов Азиз, 225-20-58 (93) 901-07-00,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
255,INROZ,ХФ,200652924,"100057. Тошкент шаҳар Уста Ширин,117",Инсапова Роза, 248-75-83 406-11-09 188-68-64,,,,,,,,,,,,,,Тошкент шаҳар
256,TOSHKENTSUVLOYIHAINVEST,МЧЖ,200663870,"100213.Тошкент шаҳар Чо Мин ХИ,13",Сагдуллаев Файзулла, 295-25-13 494-11-50,,,,,,,,,,,,,,Тошкент шаҳар
257,STROYPROYEKT,МЧЖ,205299900,"100007.Тошкент шаҳар Паркент,127",Пирматова Рахима, 394-04-98 524-28-57,,,,,,,,,,,,,,Тошкент шаҳар
258,AVIAMAXSUSMONTAJ,МЧЖ,200645426,"100044,Тошкент шаҳар, С. Олимов 54 б",Шарипов Рустам Каримов Фархад Маликович, 215-88-71 215-78-15 215-83-48 +99890 187-36-59,,,,,,,,,,,,,,Тошкент шаҳар
259,AMMOFOS-MAXAM,АЖ,200599579,110100. Тошкент вилоят Олмалиқ шаҳар,Содиқов Боходир, 613-05-70 613-13-67,,,,,,,,,,,,Тошкент,,Олмалиқ шаҳар
260,ФАРҒОНААГРОЛОЙИХА,МЧЖ,200151163,"150114. Фарғона вилоят Фарғона шаҳар, С.Темур кўчаси, 24",Исроилов Косимжон. А. Тухтасинов, 226-66-86 Ferqproject1@gmail.com,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
261,SIYMO-LOYIHA,МЧЖ,205704997,"Тошкент шаҳар, Навоий, 40",,155-16-56,,,,,,,,,,,,,,Тошкент шаҳар
262,YO’L-INSHOAT LOYIHA,МЧЖ,206414273,"100167.Тошкент шаҳар Локомотив,10",Камалов Кудияр, 457-69-52 293-49-51,,,,,,,,,,,,,,Тошкент шаҳар
263,INFRASTRUKTURA LOYIHA BYUROCI,МЧЖ,203406127,"100067, Тошкент ш. Ловомативная кўч, 10",Эшонқулов Аброр, 281-14-42 778-02-15,,,,,,,,,,,,,,Тошкент шаҳар
264,FARZONA STAL SERVIS,МЧЖ,300599038,"140047. Самарқанд вилоят Самарқанд шаҳар, Лолазор, 70",Аслиев Сирожжидин, 237-22-59 223-27-79,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
265,JILPROEKT PLUS,МЧЖ,206813402,"100031.Тошкент шаҳар М.Якубов,43",Рашидходжаев Ахмаджон, 252-13-34 168-93-37 390-14-70,,,,,,,,,,,,,,Тошкент шаҳар
266,SIGMA-QURILISH LOYIHA ISHLARI,МЧЖ,206989334,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Раджабова М,,,,,,,,,,,,,Наманган,,Наманган шахар
267,GLOBAL-PROJEKT-SERVISE-PLUS,МЧЖ,206798287,100097.Тошкент шаҳар Чопон ота Ц мавзе,Строкович Олег, 277-97-80 380-71-92 ,,,,,,,,,,,,,,Тошкент шаҳар
268,РАЗМЛИК,ХИЧК,202603904,"100002. Андижон вилоят Андижон шаҳар Бозор кўча, 4",Касимов Кобулжон, 225-21-45 272-16-40,,,,,,,,,,,,Андижон,,Андижон шаҳар
269,ГЕОИД,ХЛБ,201905615,"220000. Хоразм вилоят Урганч шаҳар Гурлан,40",Суханов Алексей Иванович, 560-21-90,,,,,,,,,,,, Хоразм,,Урганч шаҳар
270,ZARKENT-LOYIHA QURILISH,ХК,300713891,160136. Наманган вилоят Наманган шахар Навоий.5,Рустамов Бахром, 226-73-65 258-46-61,,,,,,,,,,,,Наманган,,Наманган шахар
271,Хамкорлик,МЧЖ,200050409,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Убайдуллаев Хасанбой, 226-20-49,,,,,,,,,,,,Наманган,,Наманган шахар
272,ИЗЗАТБЕК,МЧЖ,203289961,"Фарғона вилоят Учкўприк тумани Отохонов,2 ",Қаюмов Шовкат, 556-03-86 515-11-92 ,,,,,,,,,,,,Фарғона,Учкўприк,
273,TEXSIS LOYIHA,МЧЖ,200935698,"100021. Тошкент шаҳри Навоий,40",Самигов Эркин, 242-24-95 242-06-09 +998981273553,,,,,,,,,,,,,,Тошкент шаҳар
274,PERFECT DESIGN ARH,МЧЖ,205357377,"100001.Тошкент шаҳар Ц-4, 13-7",Гозиева Дилноза, 236-05-83 300-67-80,,,,,,,,,,,,,,Тошкент шаҳар
275,REGISTON YO’L LOYIHA,МЧЖ,300752590,"Самарқанд вилоят Самарқанд шаҳар Ширин қўрғон қўрғони, 29/2",Хусанов Улуғбек,  237-39-01 +998909919693 ,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
276,TEXNIKA-LOYIHA,МЧЖ,204089807,"100007.Тошкент шаҳар Навоий,40",Чернов Анатолий, 242-24-54 171-20-21,,,,,,,,,,,,,,Тошкент шаҳар
277,ХОРАЗМЙУЛЛОЙИХА,МЧЖ,200408269,"Хоразм вилоят Урганч шаҳар Хива шох кўчаси,2",Рахимов Жуманазар, 227-35-41 293-29-50,,,,,,,,,,,, Хоразм,,Урганч шаҳар
278,Самаркандсувлойиха,,201786528,"140154. Самарқанд вилоят Самарқанд шаҳар М.Улуғбек,62",Остонов Бахтиёр, 233-11-56 227-11-56,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
279,JIZZAX YO’L LOYIHA,ШК,203294197,"130103. Жиззах вилоят Жиззах шаҳар, Маданият махалласи, Пахтакор, 9 уй",Райимжонов Оқил, 224 02 44 72-571-73-75,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
280,Қашқадарё йуллойиха,МЧЖ,203577414,"180101. Қашқадарё вилоят Қарши шаҳар, Бешкент йўли, 5",Хамроев Адаш, 8375 228-05-96 +99890 609-32-20 ,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
281,YUKA-STOROY,МЧЖ,206614143,"100025.Тошкент шаҳар А. Қаххор, 27",Далакузи. Юлдашев, 281-53-44 715-71-80,,,,,,,,,,,,,,Тошкент шаҳар
282,ALISHER BUILDINGS PROJECT,МЧЖ,200850963,"210100. Навоий вилоят Навоий шаҳар А.Темур,4  Тонг юлдузи, 3",Худойбердиев Алишер Зиёдуллаевич, +99890 732-70-32 0436 224-41-78,,,,,,,,,,,,Навоий,,Навоий шаҳар
283,TA’MIRLOYIHA,МЧЖ,200714814,"140103. Самарқанд вилоят Самарқанд шаҳар Нарпай,22",Бабамурадова Масудахон, 234-24-88 220-94-53,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
284,O’ZO’QUVLOYIHA,МЧЖ,201037595,"100010. Тошкент шаҳар Навоий,22","Хошимов Абдурахим, Михаил Борисович Дирижинский, Ким Любов Александровна", 234-01-97 241-58-20 241-59-25 722-20-01  +99893 5685283,,,,,,,,,,,,,,Тошкент шаҳар
285,Кукон Лойиха-Курилиш,МЧЖ,204546411,"130000. Фарғона вилоят Қўқон шаҳар А.Т.Хукандий мавзе,130",Позилов Алижон, 507-77-87,,,,,,,,,,,,Фарғона,,Қўқон шаҳар
286,UZFEDERALGAZ,МЧЖ,206934569,"100022.Тошкент шаҳар Х.Умаров,23",Угур Курул, 250-53-30 760-39-00,,,,,,,,,,,,,,Тошкент шаҳар
287,СУВЛОЙИХА,ХК,200240471,"100002. Андижон вилоят Андижон шаҳар Н.Охунова,35",Холдаров Ш, 224-83-28 779-0044,,,,,,,,,,,,Андижон,,Андижон шаҳар
288,Узпаркурилиш,ОАЖ,201056873,"200900  Бухоро вилоят Қоровулбозор шаҳар Қарши Шоҳ,1","Дўстов Гайрат.С, Живоглатов Владимир", 36-4-16-57  65-778-00-10,,,,,,,,,,,,Бухоро,,Қоровулбозор шаҳар
289,Фирдавс Зиё,ХФ,204760219,"170800. Андижон вилоят Мархамат тумани Ипак Йўли,35",Хакимов Солижон, 391-21-74 261-72-66 ,,,,,,,,,,,,Андижон,Мархамат,
290,ФАРГОНА САВДО ИРРИГАЦИЯ МЕЛИОРАЦИЯ,ХК,300912193,"150100. Фарғона вилоят Фарғона шаҳар Ал-Фарғоний,64",Карабаев Тулкин, 645-37-39,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
291,ISLOHОTKONSALTSERVIS,МЧЖ,203630696,"100060. Тошкент шаҳар С.Азимов,79",Нурмухамедов Н. ,232-43-47/48 233-88-22 ф. info@iks-company.com www.iks-company.com,,,,,,,,,,,,,,Тошкент шаҳар
292,Юнусжон лойиха сервис,МЧЖ,206064489,"180100. Қашқадарё вилоят Қарши шаҳар Ғузор,4",Сирожиддинова Флора Фуатовна, +99898 776-50-53 0375 224-05-76  +99898 777-50-53,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
293,SAMOYO’LLOYIHA,МЧЖ,205234522,"210100. Навоий вилоят Навоий шаҳар Низомий,24",Норматов Нурали, 225-95-74 228-76-19 +998907171494 +998907171478,,,,,,,,,,,,Навоий,,Навоий шаҳар
294,LOYIHASUV QURILISH,МЧЖ,300280207,"200100. Бухоро вилоят Бухоро шаҳар М.Ғофир,74/2",Хайитов Хужакул, 223-16-90 224-52-41,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
295,ТУРОН МЕЪМОР ЛОЙИХА,ХК,300197300,"180000. Қашқадарё вилоят Қарши шаҳар Тошқудуқ,25",Сагдиев Алишер, 75-310-00-24,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
296,SUVLOYIXA,МЧЖ,201344720,"160133. Наманган вилоят Наманган шаҳар Ахунбабаев,64",Носиров Х, 226-27-30  93-408-85-58,,,,,,,,,,,,Наманган,,Наманган шахар
297,SANCHO SERVIS,ХК,206854945,"100092. Фарғона вилоят Фарғона шаҳар Т.Қамбаров,9",Эркабаев Боходир, 216-65-10,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
298,ФЕРЛАНШАФТ КОММУНАЛ ЛОЙИХА,МЧЖ,301071569,"Фарғона вилоят Фарғона шаҳар М.Қ осимов,39",Мамажанов Л, 216-65-11,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
299,Сирдарёлойиха,МЧЖ,200323225,"120100. Сирдарё вилоят Гулистон шаҳар Ахтамова,30",Юсупбоев Карим, 227-64-46 27-64-65 777-475,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
300,EX-PRO DESIGN,МЧЖ,206960086,"100100.Тошкент шаҳар У.Носир,53В",Абасов Боходир, 280-53-37 355-59-83,,,,,,,,,,,,,,Тошкент шаҳар
301,SUVSOZ,ДУК,201052713,"100060.Тошкент шаҳар Чехов,2",Тошев Темур, 252-19-41 252-19-51,,,,,,,,,,,,,,Тошкент шаҳар
302,ЕВРО-КУРИЛИШ-ХАМКОР,МЧЖ,205134457,"Андижон вилоят Андижон шаҳар Бобур Шох,2",Мирзаев Б, 224-04-82,,,,,,,,,,,,Андижон,,Андижон шаҳар
303,АНДИЖОНМЕЪМОРЛОЙИХА,МЧЖ,300520413,"Андижон вилоят Андижон шаҳар Бобур Шох,2",Мирзаев Одил, 224-04-82 224-08-21,,,,,,,,,,,,Андижон,,Андижон шаҳар
304,URBAN ARCHITEKTURE,МЧЖ,300565222,"100005.Тошкент шаҳар Навоий,44",Шим Хёк Нам, 242-84-71  768-49-94,,,,,,,,,,,,,,Тошкент шаҳар
305,АНДИЖОН ЛОЙИХА КИДИРУВ ЭКСПЕДИЦИЯСИ,МЧЖ,202681413,"170117. Андижон вилоят Андижон шаҳар Мирпўстин,26",Валидов Ф, 224-00-97 257-69-97,,,,,,,,,,,,Андижон,,Андижон шаҳар
306,БАСД,ХФ,202983281,"170126. Андижон вилоят Андижон шаҳар Мирпўстин,3",Шамшиддинов А, 224-08-48 991-17-84,,,,,,,,,,,,Андижон,,Андижон шаҳар
307,Жизах-таъмирлойиха,МЧЖ,201433214,"Жиззах вилоят Жиззах шаҳри М.Қўшақов,89",Абдураимов Х, 222-44-21 538-13-96,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
308,XALQ ME’MORI S.R.ODILOVNING IJODIY USTAXONASI,МЧЖ,200842822,"100055, Тошкент шаҳри, Зафаробод кўчаси, 85",Ташкентбаев Ўктам Суратович, +99891 191-75-61  +99890 960-12-25,,,,,,,,,,,,,,Тошкент шаҳар
309,МЕЪМОР,ХФ,200571622,"111300. Тошкент вилоят Паркент тумани Ички Қўрғон,5",Сарбоев М, 72-22-239 8-591- 006-82-87,,,,,,,,,,,,Тошкент,Паркент,Ички Қўрғон
310,KASHIN,ХФ,203374374,100003.Тошкент шаҳар Массив олмазор 8/1-8,Болтаев Хурмат, 245-22-04 186-997-91,,,,,,,,,,,,,,Тошкент шаҳар
311,GULI SHARQ QURILISH,МЧЖ,205950090,"100060.Тошкент шаҳар С.Барака,67 А. Қодирий кўчаси, 7а ","Мухамедбаев А, Турсунов Алишер Муратович", 775-50-27  +99895 169-24-24 +99890 915-92-06,,,,,,,,,,,,,,Тошкент шаҳар
312,ABAT,МЧЖ,202679113,"Тошкент шаҳри, Яккасарай тумани, У. Носир кўчаси, 113",Агиевская Галина, 253-57-86 330-10-48,,,,,,,,,,,,,Яккасарай,Тошкент шаҳар
313,METROLOYIHA,МЧЖ,201052135,"100185.Тошкент шаҳар Бунёдкор,41",Закиров Азизбек Одилович, 279-50-59 279-97-94 271-22-17 271-22-16 metroloyiha@mail.ru,,,,,,,,,,,,,,Тошкент шаҳар
314,ARX STROY TA’MIR,МЧЖ,300077687,"100038.Тошкент шаҳар Навоий,9",Беширов Рамзиддин, +998981285055 241-78-07 98 128-50-55,,,,,,,,,,,,,,Тошкент шаҳар
315,Водий Лойиха Сервис,МЧЖ,205853188,151500. Фарғона вилоят Тошлоқ туман Ахшак қишлоғи Беш-Алиш Қ.Ф.Й,Тухтасинов У, 222-11-11 703-41-61 559-41-61,,,,,,,,,,,,Фарғона,Тошлоқ,Ахшак қишлоғи
316,CITY RENDER,МЧЖ,300849120,"Тошкент шаҳар Ғ.Ғулом,3  А-6",Рахманов Рихсилла, 101-17-11,,,,,,,,,,,,,,Тошкент шаҳар
317,Жанубйўллойиха,МЧЖ,205251368,"190113. Сурхондарё вилоят Термез шаҳар Т.Сайдалиев,1",Юлдошев А, 226-18-97 395-87-60,,,,,,,,,,,, Сурхондарё,,Термез шаҳар
318,АРХСТРОЙСЕРВИС,КТИЧКИК,204270417,"170100. Андижон вилоят Андижон шаҳар Фитрат,214",Исмонов К, 225-51-33 253-89-27,,,,,,,,,,,,Андижон,,Андижон шаҳар
319,АНДИЖОН-СЛ,ХФ,202204799,"170100. Андижон вилоят Андижон шаҳар Фитрат,214",Иброхимов Мадаминжон, +99891 6060013 223-70-02 223-70-46,,,,,,,,,,,,Андижон,,Андижон шаҳар
320,Технология,КК,200959422,"140158. Самарқанд вилоят Самарқанд шаҳар Ипак Йўли,5",Куртаметов И, 224-16-53,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
321,MNN GROUP-LITI SERVIS,МЧЖ,206837919,"100011.Тошкент шаҳар Буюк Турон,41",Абдуллаев Х, 388-07-76 758-07-76,,,,,,,,,,,,,,Тошкент шаҳар
322,O’ROZBOY,ХК,200826105,"Тошкент шаҳри, ТКАД кўчаси, 4р1",Эшимбетов Шерзод, 268-49-03 90 931-96-46,,,,,,,,,,,,,,Тошкент шаҳар
323,DOKTOR MAHKAMOV,МЧЖ,200824392,"100052.Тошкент шаҳри М.Хакимова,8",Махкамов Нодирбек, 234-79-92 186-99-15,,,,,,,,,,,,,,Тошкент шаҳар
324,NB MAX SERVIS,МЧЖ,205268908,"100031.Тошкент шаҳар Ўзбекистон, 17/1",Тураев Бахтиёр, 176-20-13 256-47-44,,,,,,,,,,,,,,Тошкент шаҳар
